,Voltage,Current
0,1.045087976539591,-6.12903225806452e-07
1,3.078812316715542,-1.1422287390029346e-06
2,4.39516129032258,-1.3651026392961896e-06
3,5.237903225806452,-1.4626099706744853e-06
4,5.781158357771261,-1.4626099706744853e-06
5,6.10850439882698,-1.4904692082111417e-06
6,6.303519061583579,-1.4904692082111417e-06
7,6.394061583577713,-1.4904692082111417e-06
8,6.449780058651029,-1.4486803519061588e-06
9,6.4358504398826994,-1.4208211143694988e-06
10,6.380131964809387,-1.3929618768328424e-06
11,6.32441348973607,-1.379032258064516e-06
12,6.247800586510266,-1.351173020527856e-06
13,6.164222873900293,-1.3372434017595333e-06
14,6.066715542521994,-1.2954545454545468e-06
15,5.99010263929619,-1.2954545454545468e-06
16,5.87866568914956,-1.2536656891495603e-06
17,5.781158357771261,-1.2397360703812304e-06
18,5.690615835777127,-1.2118768328445774e-06
19,5.586143695014663,-1.156158357771261e-06
20,5.474706744868037,-1.1422287390029346e-06
21,5.370234604105573,-1.1422287390029346e-06
22,5.272727272727273,-1.0865102639296182e-06
23,5.154325513196483,-1.0865102639296182e-06
24,5.05681818181818,-1.0586510263929618e-06
25,4.966275659824046,-1.044721407624632e-06
26,4.861803519061585,-1.030791788856309e-06
27,4.743401759530791,-9.89002932551319e-07
28,4.645894428152495,-9.611436950146662e-07
29,4.527492668621704,-9.193548387096797e-07
30,4.4439149560117315,-8.914956011730233e-07
31,4.332478005865102,-8.914956011730233e-07
32,4.228005865102638,-8.636363636363633e-07
33,4.130498533724342,-8.218475073313804e-07
34,4.019061583577713,-7.661290322580605e-07
35,3.921554252199414,-7.661290322580605e-07
36,3.8170821114369495,-7.104105571847512e-07
37,3.698680351906159,-6.825513196480948e-07
38,3.6011730205278596,-6.407624633431083e-07
39,3.5036656891495603,-6.12903225806452e-07
40,3.392228739002933,-5.850439882697991e-07
41,3.2947214076246354,-5.153958944281562e-07
42,3.183284457478006,-5.014662756598227e-07
43,3.099706744868035,-4.596774193548363e-07
44,2.9743401759530776,-4.03958944281527e-07
45,2.869868035190617,-3.621700879765406e-07
46,2.7584310850439895,-3.3431085043988416e-07
47,2.6539589442815252,-2.6466275659824135e-07
48,2.570381231671556,-2.0894428152492493e-07
49,2.4589442815249285,-1.532258064516121e-07
50,2.347507331378301,-1.1143695014662925e-07
51,2.23607038123167,-1.3929618768326434e-08
52,2.1246334310850443,-1.3929618768326434e-08
53,2.03409090909091,-3.552713678800501e-21
54,1.9087243401759544,1.3929618768329988e-08
55,1.8251466275659816,2.7859237536656422e-08
56,1.7137096774193559,2.7859237536656422e-08
57,1.6022727272727266,4.178885630498286e-08
58,1.490835777126101,1.3929618768329988e-08
59,1.3793988269794717,4.178885630498286e-08
60,1.2888563049853374,2.7859237536656422e-08
61,1.17741935483871,1.3929618768329988e-08
62,1.0799120234604125,5.57184750733164e-08
63,0.9684750733137832,2.7859237536656422e-08
64,0.8709677419354858,4.178885630498286e-08
65,0.7664956011730215,5.57184750733164e-08
66,0.668988269794724,5.57184750733164e-08
67,0.5575513196480948,4.178885630498286e-08
68,0.46004398826979553,2.7859237536656422e-08
69,0.3625366568914963,5.57184750733164e-08
70,0.25806451612903203,4.178885630498286e-08
71,0.14662756598240456,2.7859237536656422e-08
72,0.035190615835777095,2.7859237536656422e-08
73,-0.04838709677419395,5.57184750733164e-08
74,-0.16678885630498463,5.57184750733164e-08
75,-0.2642961876832839,5.57184750733164e-08
76,-0.36876832844574636,2.7859237536656422e-08
77,-0.4662756598240456,5.57184750733164e-08
78,-0.5846774193548381,4.178885630498286e-08
79,-0.6752199413489741,4.178885630498286e-08
80,-0.7727272727272716,5.57184750733164e-08
81,-0.8771994134897341,4.178885630498286e-08
82,-0.9816715542521983,4.178885630498286e-08
83,-1.1000733137829908,5.57184750733164e-08
84,-1.2045454545454533,4.178885630498286e-08
85,-1.3020527859237525,6.964809384163928e-08
86,-1.4134897360703818,5.57184750733164e-08
87,-1.5109970674486792,6.964809384163928e-08
88,-1.6154692082111417,4.178885630498286e-08
89,-1.7129765395894427,6.964809384163928e-08
90,-1.8174486803519052,8.357771260997283e-08
91,-1.9288856304985327,6.964809384163928e-08
92,-2.033357771260997,5.57184750733164e-08
93,-2.1517595307917894,4.178885630498286e-08
94,-2.249266862170087,5.57184750733164e-08
95,-2.346774193548388,6.964809384163928e-08
96,-2.437316715542522,4.178885630498286e-08
97,-2.555718475073313,5.57184750733164e-08
98,-2.6671554252199403,9.750733137829926e-08
99,-2.7646627565982396,4.178885630498286e-08
100,-2.876099706744867,9.750733137829926e-08
101,-2.9736070381231663,8.357771260997283e-08
102,-3.0780791788856305,8.357771260997283e-08
103,-3.182551319648093,5.57184750733164e-08
104,-3.2800586510263923,6.964809384163928e-08
105,-3.3845307917888547,5.57184750733164e-08
106,-3.495967741935484,6.964809384163928e-08
107,-3.5865102639296182,8.357771260997283e-08
108,-3.711876832844574,8.357771260997283e-08
