


yyyy/mmdd(or -ddd)/hh.h):2024/-286/23.0UT  geog Lat/Long/Alt= 91.0/   0.0/ 400.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Solar and magnetic parameter for the 1st profile point:
Solar Zenith Angle/degree                              81.5
Dip (Magnetic Inclination)/degree                     -72.85
Modip (Modified Dip)/degree                           -90.00
Solar Sunspot Number (12-months running mean) Rz12    139.6           
Ionospheric-Effective Solar Index IG12                133.2           
Solar radio flux F10.7 (daily)                        212.6           
Solar radio flux F10.7 (81-day average)               205.0           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
  LATI ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
  GEOD Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 -31.0  457148  0.896  1120  1120  1355 977  22   0   0   0   0  -1  14.7  76
 -30.0  464790  0.893  1119  1119  1349 977  22   0   0   0   0  -1  14.9  77
 -29.0  473670  0.890  1118  1118  1343 978  22   0   0   0   0  -1  15.2  77
 -28.0  483766  0.886  1117  1117  1336 978  22   0   0   0   0  -1  15.5  77
 -27.0  495175  0.881  1117  1117  1329 978  22   0   0   0   0  -1  15.9  78
 -26.0  507986  0.876  1116  1116  1322 978  22   0   0   0   0  -1  16.3  78
 -25.0  522289  0.870  1116  1116  1315 978  22   0   0   0   0  -1  16.8  79
 -24.0  538173  0.864  1115  1115  1307 978  21   0   0   0   0  -1  17.4  79
 -23.0  555886  0.857  1115  1115  1300 978  21   0   0   0   0  -1  18.1  79
 -22.0  575445  0.848  1115  1115  1292 978  21   0   0   0   0  -1  18.9  79
 -21.0  596828  0.839  1114  1114  1285 978  21   0   0   0   0  -1  19.8  80
 -20.0  620081  0.829  1114  1114  1277 978  21   0   0   0   0  -1  20.8  80
 -19.0  645235  0.817  1114  1114  1270 978  21   0   0   0   0  -1  21.9  80
 -18.0  672317  0.805  1114  1114  1264 978  21   0   0   0   0  -1  23.2  80
 -17.0  701330  0.792  1115  1115  1258 978  21   0   0   0   0  -1  24.6  80
 -16.0  732271  0.777  1115  1115  1252 978  21   0   0   0   0  -1  26.2  80
 -15.0  765137  0.762  1115  1115  1247 979  21   0   0   0   0  -1  28.0  80
 -14.0  799915  0.747  1115  1115  1244 979  21   0   0   0   0  -1  30.0  80
 -13.0  836611  0.731  1115  1115  1239 979  21   0   0   0   0  -1  32.2  80
 -12.0  875267  0.715  1116  1116  1236 979  20   0   0   0   0  -1  34.6  80
 -11.0  915953  0.700  1116  1116  1233 979  20   0   0   0   0  -1  37.2  80
 -10.0  958781  0.685  1116  1116  1231 979  20   0   0   0   0  -1  40.0  80
  -9.0 1003895  0.672  1117  1117  1231 979  20   0   0   0   0  -1  42.8  79
  -8.0 1051423  0.661  1117  1117  1232 979  20   0   0   0   0  -1  45.8  79
  -7.0 1101445  0.653  1117  1117  1233 980  20   0   0   0   0  -1  48.7  79
  -6.0 1153912  0.648  1117  1117  1235 980  20   0   0   0   0  -1  51.5  79
  -5.0 1208486  0.647  1117  1117  1238 980  20   0   0   0   0  -1  54.1  78
  -4.0 1264335  0.650  1117  1117  1242 980  19   0   0   0   0  -1  56.4  78
  -3.0 1319849  0.658  1118  1118  1245 980  19   0   0   0   0  -1  58.2  77
  -2.0 1372115  0.670  1118  1118  1249 980  19   0   0   0   0  -1  59.4  77
  -1.0 1415047  0.685  1118  1118  1253 981  19   0   0   0   0  -1  59.9  76
   0.0 1444182  0.703  1117  1117  1254 981  18   0   0   0   0  -1  59.6  76
   1.0 1452083  0.720  1117  1117  1255 981  18   0   0   0   0  -1  58.7  75
   2.0 1431536  0.734  1117  1117  1256 981  18   0   0   0   0  -1  57.1  75
   3.0 1378114  0.740  1117  1117  1256 981  18   0   0   0   0  -1  55.2  75
   4.0 1292770  0.737  1117  1117  1255 982  18   0   0   0   0  -1  53.0  75
   5.0 1182911  0.723  1116  1116  1255 982  17   0   0   0   0  -1  50.7  76
   6.0 1061006  0.700  1116  1116  1253 982  17   0   0   0   0  -1  48.3  76
   7.0  941095  0.670  1116  1116  1252 982  17   0   0   0   0  -1  46.0  77
   8.0  835045  0.639  1115  1115  1249 982  17   0   0   0   0  -1  43.8  79
   9.0  766590  0.608  1115  1115  1247 982  17   0   0   0   0  -1  42.7  81
  10.0  705823  0.583  1114  1114  1243 982  17   0   0   0   0  -1  41.1  83
  11.0  671167  0.564  1114  1114  1239 983  17   0   0   0   0  -1  40.1  84
  12.0  661655  0.553  1113  1113  1236 983  16   0   0   0   0  -1  40.0  84
  13.0  675578  0.550  1112  1112  1231 983  16   0   0   0   0  -1  40.7  84
  14.0  710765  0.557  1112  1112  1227 983  16   0   0   0   0  -1  42.0  82
  15.0  764415  0.572  1111  1111  1221 983  16   0   0   0   0  -1  43.6  80
  16.0  832640  0.595  1110  1110  1216 983  16   0   0   0   0  -1  45.1  78
  17.0  909921  0.626  1110  1110  1210 983  16   0   0   0   0  -1  46.2  76
  18.0  988865  0.662  1109  1109  1204 983  16   0   0   0   0  -1  46.7  74
  19.0 1060744  0.700  1109  1109  1197 983  16   0   0   0   0  -1  46.7  72
  20.0 1116692  0.737  1108  1108  1191 983  16   0   0   0   0  -1  45.8  71
  21.0 1150517  0.771  1108  1108  1184 983  16   0   0   0   0  -1  44.5  71
  22.0 1160488  0.800  1108  1108  1177 983  16   0   0   0   0  -1  42.9  70
  23.0 1148334  0.822  1108  1108  1169 983  16   0   0   0   0  -1  41.1  70
  24.0 1118417  0.839  1107  1107  1162 983  16   0   0   0   0  -1  39.1  70
  25.0 1076121  0.851  1108  1108  1155 983  16   0   0   0   0  -1  37.1  70
  26.0 1026569  0.860  1108  1108  1150 983  16   0   0   0   0  -1  35.1  70
  27.0  973943  0.867  1108  1108  1150 983  16   0   0   0   0  -1  33.1  70
  28.0  921289  0.872  1109  1109  1150 983  17   0   0   0   0  -1  31.3  70
  29.0  870601  0.876  1109  1109  1150 983  17   0   0   0   0  -1  29.5  71
  30.0  823024  0.881  1110  1110  1151 983  17   0   0   0   0  -1  27.8  71
  31.0  778954  0.885  1111  1111  1151 983  17   0   0   0   0  -1  26.3  71
  32.0  738676  0.890  1113  1113  1152 983  17   0   0   0   0  -1  24.8  71
  33.0  702026  0.895  1114  1114  1153 983  17   0   0   0   0  -1  23.5  71
  34.0  668777  0.900  1116  1116  1154 983  17   0   0   0   0  -1  22.3  72
  35.0  638599  0.905  1118  1118  1156 982  17   0   0   0   0  -1  21.2  72
  36.0  611149  0.911  1120  1120  1158 982  17   0   0   0   0  -1  20.1  72
  37.0  586083  0.917  1122  1122  1160 982  17   0   0   0   0  -1  19.2  72
  38.0  563077  0.922  1125  1125  1163 982  17   0   0   0   0  -1  18.3  72
  39.0  541894  0.928  1128  1128  1167 982  17   0   0   0   0  -1  17.5  72
  40.0  522321  0.933  1131  1131  1171 982  17   0   0   0   0  -1  16.7  73
  41.0  504180  0.938  1134  1134  1175 982  18   0   0   0   0  -1  16.1  73
  42.0  487291  0.943  1138  1138  1181 982  18   0   0   0   0  -1  15.4  73
  43.0  471530  0.947  1142  1142  1187 982  18   0   0   0   0  -1  14.8  73
  44.0  456771  0.951  1146  1146  1194 982  18   0   0   0   0  -1  14.3  73
  45.0  442918  0.954  1151  1151  1202 982  18   0   0   0   0  -1  13.8  73
  46.0  429891  0.958  1155  1155  1216 982  18   0   0   0   0  -1  13.3  74
  47.0  417636  0.961  1160  1160  1240 982  18   0   0   0   0  -1  12.8  74
  48.0  406083  0.963  1165  1165  1267 982  18   0   0   0   0  -1  12.4  74
  49.0  395182  0.965  1170  1170  1293 982  18   0   0   0   0  -1  12.0  74
  50.0  384893  0.967  1176  1176  1320 981  18   0   0   0   0  -1  11.7  74
  51.0  375200  0.969  1181  1231  1348 981  18   0   0   0   0  -1  11.3  75
  52.0  366049  0.970  1187  1259  1378 981  18   0   0   0   0  -1  11.0  75
  53.0  357402  0.971  1193  1280  1409 981  18   0   0   0   0  -1  10.7  75
  54.0  349763  0.972  1199  1297  1442 981  19   0   0   0   0  -1  10.5  75
  55.0  342561  0.973  1205  1313  1475 981  19   0   0   0   0  -1  10.2  75
  56.0  335792  0.973  1212  1326  1510 981  19   0   0   0   0  -1  10.0  76
  57.0  329431  0.974  1218  1339  1545 981  19   0   0   0   0  -1   9.8  76
  58.0  323481  0.974  1224  1350  1581 980  19   0   0   0   0  -1   9.6  76
  59.0  317933  0.974  1231  1361  1618 980  19   0   0   0   0  -1   9.4  76
  60.0  312785  0.973  1237  1371  1655 980  20   0   0   0   0  -1   9.3  76
  61.0  308032  0.973  1244  1380  1692 980  20   0   0   0   0  -1   9.1  77
  62.0  303677  0.972  1250  1389  1730 979  20   0   0   0   0  -1   9.0  77
  63.0  299725  0.972  1257  1397  1769 979  20   0   0   0   0  -1   8.9  77
  64.0  296185  0.971  1263  1404  1808 979  21   0   0   0   0  -1   8.8  77
  65.0  293050  0.970  1270  1411  1848 979  21   0   0   0   0  -1   8.7  77
  66.0  290356  0.969  1276  1418  1887 978  21   0   0   0   0  -1   8.6  77
  67.0  288132  0.968  1282  1424  1925 978  22   0   0   0   0  -1   8.5  77
  68.0  286394  0.967  1288  1429  1964 977  22   0   0   0   0  -1   8.5  78
  69.0  285163  0.966  1294  1434  2001 977  22   0   0   0   0  -1   8.5  78
  70.0  284484  0.965  1300  1438  2038 977  23   0   0   0   0  -1   8.4  78
