,c,t,ne,Te
48,3580.0,54867,12806.647609940816,9212.559737210964
49,3582.0,54936,13502.05888748225,9999.999860982074
50,3586.0,55095,12306.73552759551,9038.867787532967
51,3588.0,55178,12330.94745082207,9313.64308059371
52,3590.0,55247,12910.39831841638,9876.0388412708
53,3592.0,55332,12884.006060354835,9999.999999995407
54,3594.0,55414,14862.210752816798,9999.999999999205
55,3596.0,55484,12787.441554163848,9999.999998964866
56,3598.0,55564,12526.519963401077,9999.999995115193
57,3600.0,55634,12922.583837380882,9999.445938686415
58,3602.0,55717,12998.874999784657,9864.419026298789
59,3606.0,56127,13507.993865031445,9979.918540429222
60,3608.0,56196,12250.871353386365,8141.012191403352
61,3610.0,56277,13799.489936003936,9999.999999634298
62,3612.0,56346,11446.020483067417,8559.895516042745
63,3614.0,56429,13520.723812580132,9990.723494665184
64,3616.0,56502,13342.679924745822,9999.999999999998
65,3618.0,56583,11894.01107852729,6301.595288090797
66,3620.0,56666,12970.346228377359,9999.999999999993
67,3622.0,56736,13027.742381325348,9999.99999684758
68,3626.0,56892,13119.069002936463,9696.256816161076
69,3628.0,56974,13022.393206033606,9274.484715729826
70,3630.0,57047,14061.266242822152,9999.99984969283
71,3632.0,57128,13319.43810105791,9026.270321461094
72,3634.0,57197,11855.919014689181,7471.762515691618
73,3636.0,57278,13827.508831244328,9999.999999997872
74,3638.0,57350,12502.998122093753,9999.999967266644
75,3640.0,57443,12810.068876650934,9999.999954014474
76,3642.0,57513,13504.62621331019,9999.999998556978
77,3646.0,57935,12929.243715880477,9679.30730692256
78,3648.0,58019,13757.871755451515,9999.012718149668
79,3650.0,58099,14238.414214711918,9999.999999999758
80,3652.0,58169,12989.547710481536,9706.33331683894
81,3654.0,58249,13299.063212289133,9089.310492905966
82,3656.0,58322,13923.625038639231,9999.999999999998
83,3658.0,58403,13494.42355234089,8962.513555183405
84,3660.0,58472,12711.713739301209,8242.83419345448
85,3662.0,58553,13487.937658797848,9999.760531005817
86,3666.0,58713,12287.437955632484,9365.070984934116
87,3668.0,58784,14000.231261837014,9999.999999999998
88,3670.0,58865,13181.644853891401,9999.99998602178
89,3672.0,58934,14755.024584505307,9999.999999999522
90,3674.0,59018,13042.355236612135,9999.999999987414
91,3676.0,59087,13701.01510736269,9638.212288612367
92,3678.0,59168,12486.567877514357,9461.006997260727
93,3680.0,59237,12239.000283078383,7481.68288727735
94,3682.0,59321,13103.435837289513,9999.999999736563
95,3686.0,59743,13133.331613427219,8779.406288299122
96,3688.0,59824,12817.275541044368,9734.28642514417
97,3690.0,59893,13323.51440402467,9999.999994437305
98,3692.0,59977,13680.231382272485,9350.559109743815
99,3694.0,60046,13448.720155922278,9999.999999999998
100,3696.0,60127,12672.94004229607,9261.55273667001
101,3698.0,60196,13070.940123634187,9645.163133217544
102,3700.0,60279,12502.241411802552,8044.648255127709
103,3702.0,60348,11774.837531658648,7527.443860087082
104,3706.0,60508,13903.455815216494,9999.999999998801
105,3708.0,60592,13410.035185628123,9999.999985896726
106,3710.0,60674,14172.124718241586,9999.999999999998
107,3712.0,60744,14083.010929987828,9999.999999997655
108,3714.0,60824,13404.708914188543,9999.999999999998
